pedido|area_operativa|subz|ruta|municipio|contrato|acta|actividad|fecha_estado|pagina|urbrur|tipre|red_interna|tipo_operacion|descent|tipo|cobro|suminis|item_cont|item_res|cantidad|vlr_cliente|valor_costo|tipo_item
23651968|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|06-FEB-26|050726003000140120|U|ENEPRE||MET||SUM|NO|325998||325998|1|0|1805|
23651968|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|06-FEB-26|050726003000140120|U|ENEPRE||MET||CON|NO||A02U||1|0|63259.22|
23651968|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|06-FEB-26|050726003000140120|U|ENEPRE||MET||CON|NO||A06U||1|0|54805.84|
23651968|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|06-FEB-26|050726003000140120|U|ENEPRE||MET||CON|NO||A13U||1|0|150694.38|
23651973|SUR-ENE|MET|05|Medellín|CW352017||AMRTR|11-FEB-26|055116888210860000|U|||MET||CON|NO||D03U||1|0|84739.29|
23653246|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|11-FEB-26|163004665500000000|U|ENEPRE||MET||SUM|NO|200098||200098|1|0|172852.32|
23653246|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|11-FEB-26|163004665500000000|U|ENEPRE||MET||SUM|SI|200410||200410|2|0|24445.8|
23653246|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|11-FEB-26|163004665500000000|U|ENEPRE||MET||SUM|NO|211438||211438|1|0|1929.07|
23653246|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|11-FEB-26|163004665500000000|U|ENEPRE||MET||SUM|SI|211829||211829|1|0|43582.32|
23653246|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|11-FEB-26|163004665500000000|U|ENEPRE||MET||SUM|NO|215887||215887|1|0|1134.85|
23653246|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|11-FEB-26|163004665500000000|U|ENEPRE||MET||SUM|NO|219404||219404|1|0|400|
23653246|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|11-FEB-26|163004665500000000|U|ENEPRE||MET||SUM|NO|325998||325998|1|0|1805|
23653246|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|11-FEB-26|163004665500000000|U|ENEPRE||MET||CON|NO||A02U||1|0|63259.22|
23653246|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|11-FEB-26|163004665500000000|U|ENEPRE||MET||CON|NO||A06U||1|0|54805.84|
23653246|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|11-FEB-26|163004665500000000|U|ENEPRE||MET||CON|NO||A13U||1|0|150694.38|
23655671|SUR-ENE|MET|05|Medellín|CW352017||ACREV|10-FEB-26|053816000000530000|U|||MET||CON|NO||D01U||1|0|46366.32|
23640617|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|13-FEB-26|054729204000410371|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23640617|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|13-FEB-26|054729204000410371|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23640619|SUR-ENE|MET|05|Medellín|CW352017||ALEGN|13-FEB-26|054729204000410347|U|||MET||SUM|NO|219404A||219404A|1|0|400|
